$a,$b,$c,$d,$e,$f,$g,$h,$i,$j,$k,$l,$m,$n,$<1,$<2,$<3
iqr,mc,1.39367468,40,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,7892.807879
iqr,mc,1.39367468,50,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,7220.085116
iqr,mc,1.39367468,60,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6801.22
iqr,mc,1.39367468,60,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,8214.02
iqr,mc,1.39367468,70,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6515.327937
iqr,mc,1.39367468,70,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,7678.366667
iqr,mc,1.39367468,80,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6307.762466
iqr,mc,1.39367468,80,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,7295.757143
iqr,mc,1.39367468,90,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6150.212771
iqr,mc,1.39367468,90,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,7008.8
iqr,mc,1.39367468,100,40,1,2500,870,4,3000,8192,10000,1000000,1000000,5.366149482,0.1,6026.544731
iqr,mc,1.39367468,100,60,1,2500,870,4,3000,8192,10000,1000000,1000000,8.274647649,0.1,6785.611111
iqr,mc,1.39367468,20,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,8249.314118
iqr,mc,1.39367468,30,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,7045.901481
iqr,mc,1.39367468,40,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,6492.982162
iqr,mc,1.39367468,40,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,7892.807879
iqr,mc,1.39367468,50,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,6175.34766
iqr,mc,1.39367468,50,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,7220.085116
iqr,mc,1.39367468,60,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5969.16386
iqr,mc,1.39367468,60,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6801.22
iqr,mc,1.39367468,60,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,8177.285306
iqr,mc,1.39367468,70,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5824.527463
iqr,mc,1.39367468,70,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6515.327937
iqr,mc,1.39367468,70,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,7638.779322
iqr,mc,1.39367468,80,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5717.458961
iqr,mc,1.39367468,80,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6307.762466
iqr,mc,1.39367468,80,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,7256.362029
iqr,mc,1.39367468,80,80,1,2500,870,4,4000,8192,10000,1000000,1000000,11.04088359,0.1,8090.943077
iqr,mc,1.39367468,90,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5635.003908
iqr,mc,1.39367468,90,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6150.212771
iqr,mc,1.39367468,90,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,6970.759241
iqr,mc,1.39367468,90,80,1,2500,870,4,4000,8192,10000,1000000,1000000,11.04088359,0.1,7678.830667
iqr,mc,1.39367468,100,20,1,2500,870,4,4000,8192,10000,1000000,1000000,2.616114022,0.1,5569.549897
iqr,mc,1.39367468,100,40,1,2500,870,4,4000,8192,10000,1000000,1000000,5.225962846,0.1,6026.544731
iqr,mc,1.39367468,100,60,1,2500,870,4,4000,8192,10000,1000000,1000000,8.303731857,0.1,6749.336854
iqr,mc,1.39367468,100,80,1,2500,870,4,4000,8192,10000,1000000,1000000,11.04088359,0.1,7363.685882
iqr,mc,1.39367468,100,100,1,2500,870,4,4000,8192,10000,1000000,1000000,13.66499079,0.1,8123.776098
iqr,mc,1.39367468,40,40,1,2000,1740,4,3000,8192,10000,1000000,1000000,5.507022393,0.1,8209.758182
iqr,mc,1.39367468,50,40,1,2000,1740,4,3000,8192,10000,1000000,1000000,5.507022393,0.1,7463.326047
iqr,mc,1.39367468,60,40,1,2000,1740,4,3000,8192,10000,1000000,1000000,5.507022393,0.1,6998.566415
iqr,mc,1.39367468,60,60,1,2000,1740,4,3000,8192,10000,1000000,1000000,8.247913176,0.1,8089.16449
iqr,mc,1.39367468,70,40,1,2000,1740,4,3000,8192,10000,1000000,1000000,5.507022393,0.1,6681.349524
iqr,mc,1.39367468,70,60,1,2000,1740,4,3000,8192,10000,1000000,1000000,8.247913176,0.1,7565.594237
iqr,mc,1.39367468,80,40,1,2000,1740,4,3000,8192,10000,1000000,1000000,5.507022393,0.1,6451.04137
iqr,mc,1.39367468,80,60,1,2000,1740,4,3000,8192,10000,1000000,1000000,8.247913176,0.1,7193.783478
iqr,mc,1.39367468,80,80,1,2000,1740,4,3000,8192,10000,1000000,1000000,11.00380944,0.1,8027.94
iqr,mc,1.39367468,90,40,1,2000,1740,4,3000,8192,10000,1000000,1000000,5.507022393,0.1,6276.229157
iqr,mc,1.39367468,90,60,1,2000,1740,4,3000,8192,10000,1000000,1000000,8.247913176,0.1,6916.102025
iqr,mc,1.39367468,90,80,1,2000,1740,4,3000,8192,10000,1000000,1000000,11.00380944,0.1,7624.228
iqr,mc,1.39367468,100,40,1,2000,1740,4,3000,8192,10000,1000000,1000000,5.507022393,0.1,6139.010968
iqr,mc,1.39367468,100,60,1,2000,1740,4,3000,8192,10000,1000000,1000000,8.247913176,0.1,6700.820899
iqr,mc,1.39367468,100,80,1,2000,1740,4,3000,8192,10000,1000000,1000000,11.00380944,0.1,7315.507059
