$a,$b,$c,$d,$e,$f,$g,$h,$i,$j,$k,$l,$m,$n,$<1,$<2,$<3
iqr,mc,1.39367468,100,100,1,2000,1740,4,3000,8192,10000,1000000,1000000,13.65005126,0.1,8220.711084
iqr,mc,1.39367468,20,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,8263.234118
iqr,mc,1.39367468,30,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,7054.665926
iqr,mc,1.39367468,40,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,6499.377838
iqr,mc,1.39367468,40,40,1,2000,1740,4,4000,8192,10000,1000000,1000000,5.153209912,0.1,7906.727879
iqr,mc,1.39367468,50,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,6180.382553
iqr,mc,1.39367468,50,40,1,2000,1740,4,4000,8192,10000,1000000,1000000,5.153209912,0.1,7230.767907
iqr,mc,1.39367468,60,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,5973.315439
iqr,mc,1.39367468,60,40,1,2000,1740,4,4000,8192,10000,1000000,1000000,5.153209912,0.1,6809.88717
iqr,mc,1.39367468,60,60,1,2000,1740,4,4000,8192,10000,1000000,1000000,7.95776398,0.1,7987.123673
iqr,mc,1.39367468,70,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,5828.059403
iqr,mc,1.39367468,70,40,1,2000,1740,4,4000,8192,10000,1000000,1000000,5.153209912,0.1,6522.619365
iqr,mc,1.39367468,70,60,1,2000,1740,4,4000,8192,10000,1000000,1000000,7.95776398,0.1,7480.848475
iqr,mc,1.39367468,80,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,5720.532208
iqr,mc,1.39367468,80,40,1,2000,1740,4,4000,8192,10000,1000000,1000000,5.153209912,0.1,6314.055068
iqr,mc,1.39367468,80,60,1,2000,1740,4,4000,8192,10000,1000000,1000000,7.95776398,0.1,7121.31971
iqr,mc,1.39367468,80,80,1,2000,1740,4,4000,8192,10000,1000000,1000000,10.53934918,0.1,8058.24303
iqr,mc,1.39367468,90,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,5637.723908
iqr,mc,1.39367468,90,40,1,2000,1740,4,4000,8192,10000,1000000,1000000,5.153209912,0.1,6155.747229
iqr,mc,1.39367468,90,60,1,2000,1740,4,4000,8192,10000,1000000,1000000,7.95776398,0.1,6852.810886
iqr,mc,1.39367468,90,80,1,2000,1740,4,4000,8192,10000,1000000,1000000,10.53934918,0.1,7655.855789
iqr,mc,1.39367468,100,20,1,2000,1740,4,4000,8192,10000,1000000,1000000,2.579390743,0.1,5571.989485
iqr,mc,1.39367468,100,40,1,2000,1740,4,4000,8192,10000,1000000,1000000,5.153209912,0.1,6031.484086
iqr,mc,1.39367468,100,60,1,2000,1740,4,4000,8192,10000,1000000,1000000,7.95776398,0.1,6644.641124
iqr,mc,1.39367468,100,80,1,2000,1740,4,4000,8192,10000,1000000,1000000,10.53934918,0.1,7347.046977
iqr,mc,1.39367468,100,100,1,2000,1740,4,4000,8192,10000,1000000,1000000,13.12353537,0.1,8100.229157
iqr,mc,1.39367468,20,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,7527.94
iqr,mc,1.39367468,30,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,6555.693846
iqr,mc,1.39367468,40,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,6123.584444
iqr,mc,1.39367468,50,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,5879.348696
iqr,mc,1.39367468,60,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,5722.34
iqr,mc,1.39367468,60,60,1,1000,1740,2,2660,4096,10000,1000000,1000000,8.214923257,0.1,8227.94
iqr,mc,1.39367468,70,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,5612.909697
iqr,mc,1.39367468,70,60,1,1000,1740,2,2660,4096,10000,1000000,1000000,8.214923257,0.1,7689.966667
iqr,mc,1.39367468,80,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,5532.276842
iqr,mc,1.39367468,80,60,1,1000,1740,2,2660,4096,10000,1000000,1000000,8.214923257,0.1,7305.7
iqr,mc,1.39367468,80,80,1,1000,1740,2,2660,4096,10000,1000000,1000000,10.88195491,0.1,8058.24303
iqr,mc,1.39367468,90,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,5470.395814
iqr,mc,1.39367468,90,60,1,1000,1740,2,2660,4096,10000,1000000,1000000,8.214923257,0.1,7017.5
iqr,mc,1.39367468,90,80,1,1000,1740,2,2660,4096,10000,1000000,1000000,10.88195491,0.1,7655.855789
iqr,mc,1.39367468,100,20,1,1000,1740,2,2660,4096,10000,1000000,1000000,2.664047942,0.1,5421.406667
iqr,mc,1.39367468,100,60,1,1000,1740,2,2660,4096,10000,1000000,1000000,8.214923257,0.1,6793.344444
iqr,mc,1.39367468,100,80,1,1000,1740,2,2660,4096,10000,1000000,1000000,10.88195491,0.1,7347.046977
iqr,mc,1.39367468,100,100,1,1000,1740,2,2660,4096,10000,1000000,1000000,13.79672267,0.1,8220.711084
iqr,mc,1.39367468,20,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,8263.234118
iqr,mc,1.39367468,30,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,7054.665926
iqr,mc,1.39367468,40,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,6499.377838
iqr,mc,1.39367468,40,40,1,1000,1740,4,3000,8192,10000,1000000,1000000,5.276844767,0.1,8209.758182
iqr,mc,1.39367468,50,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,6180.382553
iqr,mc,1.39367468,50,40,1,1000,1740,4,3000,8192,10000,1000000,1000000,5.276844767,0.1,7463.326047
iqr,mc,1.39367468,60,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,5973.315439
iqr,mc,1.39367468,60,40,1,1000,1740,4,3000,8192,10000,1000000,1000000,5.276844767,0.1,6998.566415
iqr,mc,1.39367468,60,60,1,1000,1740,4,3000,8192,10000,1000000,1000000,8.028645118,0.1,8191.205306
iqr,mc,1.39367468,70,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,5828.059403
iqr,mc,1.39367468,70,40,1,1000,1740,4,3000,8192,10000,1000000,1000000,5.276844767,0.1,6681.349524
iqr,mc,1.39367468,70,60,1,1000,1740,4,3000,8192,10000,1000000,1000000,8.028645118,0.1,7650.34
iqr,mc,1.39367468,80,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,5720.532208
iqr,mc,1.39367468,80,40,1,1000,1740,4,3000,8192,10000,1000000,1000000,5.276844767,0.1,6451.04137
iqr,mc,1.39367468,80,60,1,1000,1740,4,3000,8192,10000,1000000,1000000,8.028645118,0.1,7266.247246
iqr,mc,1.39367468,80,80,1,1000,1740,4,3000,8192,10000,1000000,1000000,10.66923971,0.1,8104.863077
iqr,mc,1.39367468,90,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,5637.723908
iqr,mc,1.39367468,90,40,1,1000,1740,4,3000,8192,10000,1000000,1000000,5.276844767,0.1,6276.229157
iqr,mc,1.39367468,90,60,1,1000,1740,4,3000,8192,10000,1000000,1000000,8.028645118,0.1,6979.393165
iqr,mc,1.39367468,90,80,1,1000,1740,4,3000,8192,10000,1000000,1000000,10.66923971,0.1,7690.894667
iqr,mc,1.39367468,100,20,1,1000,1740,4,3000,8192,10000,1000000,1000000,2.52111081,0.1,5571.989485
iqr,mc,1.39367468,100,40,1,1000,1740,4,3000,8192,10000,1000000,1000000,5.276844767,0.1,6139.010968
iqr,mc,1.39367468,100,60,1,1000,1740,4,3000,8192,10000,1000000,1000000,8.028645118,0.1,6757.000674
iqr,mc,1.39367468,100,80,1,1000,1740,4,3000,8192,10000,1000000,1000000,10.66923971,0.1,7374.330588
iqr,mc,1.39367468,100,100,1,1000,1740,4,3000,8192,10000,1000000,1000000,13.43285772,0.1,8114.359753
iqr,mc,1.39367468,20,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,8263.234118
iqr,mc,1.39367468,30,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,7054.665926
iqr,mc,1.39367468,40,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,6499.377838
iqr,mc,1.39367468,40,40,1,1000,1740,4,4000,8192,10000,1000000,1000000,5.21957712,0.1,8209.758182
iqr,mc,1.39367468,50,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,6180.382553
iqr,mc,1.39367468,50,40,1,1000,1740,4,4000,8192,10000,1000000,1000000,5.21957712,0.1,7463.326047
iqr,mc,1.39367468,60,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,5973.315439
iqr,mc,1.39367468,60,40,1,1000,1740,4,4000,8192,10000,1000000,1000000,5.21957712,0.1,6998.566415
iqr,mc,1.39367468,60,60,1,1000,1740,4,4000,8192,10000,1000000,1000000,7.824592887,0.1,8089.16449
iqr,mc,1.39367468,70,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,5828.059403
iqr,mc,1.39367468,70,40,1,1000,1740,4,4000,8192,10000,1000000,1000000,5.21957712,0.1,6681.349524
iqr,mc,1.39367468,70,60,1,1000,1740,4,4000,8192,10000,1000000,1000000,7.824592887,0.1,7565.594237
iqr,mc,1.39367468,80,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,5720.532208
iqr,mc,1.39367468,80,40,1,1000,1740,4,4000,8192,10000,1000000,1000000,5.21957712,0.1,6451.04137
iqr,mc,1.39367468,80,60,1,1000,1740,4,4000,8192,10000,1000000,1000000,7.824592887,0.1,7193.783478
iqr,mc,1.39367468,80,80,1,1000,1740,4,4000,8192,10000,1000000,1000000,10.55541825,0.1,8104.863077
iqr,mc,1.39367468,90,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,5637.723908
iqr,mc,1.39367468,90,40,1,1000,1740,4,4000,8192,10000,1000000,1000000,5.21957712,0.1,6276.229157
iqr,mc,1.39367468,90,60,1,1000,1740,4,4000,8192,10000,1000000,1000000,7.824592887,0.1,6916.102025
iqr,mc,1.39367468,90,80,1,1000,1740,4,4000,8192,10000,1000000,1000000,10.55541825,0.1,7690.894667
iqr,mc,1.39367468,100,20,1,1000,1740,4,4000,8192,10000,1000000,1000000,2.491594694,0.1,5571.989485
iqr,mc,1.39367468,100,40,1,1000,1740,4,4000,8192,10000,1000000,1000000,5.21957712,0.1,6139.010968
iqr,mc,1.39367468,100,60,1,1000,1740,4,4000,8192,10000,1000000,1000000,7.824592887,0.1,6700.820899
iqr,mc,1.39367468,100,80,1,1000,1740,4,4000,8192,10000,1000000,1000000,10.55541825,0.1,7374.330588
iqr,mc,1.39367468,100,100,1,1000,1740,4,4000,8192,10000,1000000,1000000,13.28942663,0.1,8259.647317
iqr,mc,1.39367468,20,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,8245.202118
iqr,mc,1.39367468,30,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,7043.312444
iqr,mc,1.39367468,40,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,6491.092865
iqr,mc,1.39367468,40,40,1,500,613,2,1860,4096,10000,1000000,1000000,5.162133606,0.1,7888.695879
iqr,mc,1.39367468,50,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,6173.86034
iqr,mc,1.39367468,50,40,1,500,613,2,1860,4096,10000,1000000,1000000,5.162133606,0.1,7216.929395
iqr,mc,1.39367468,60,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,5967.937474
iqr,mc,1.39367468,60,40,1,500,613,2,1860,4096,10000,1000000,1000000,5.162133606,0.1,6798.659698
iqr,mc,1.39367468,60,60,1,500,613,2,1860,4096,10000,1000000,1000000,7.970536723,0.1,7969.091673
iqr,mc,1.39367468,70,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,5823.484119
iqr,mc,1.39367468,70,40,1,500,613,2,1860,4096,10000,1000000,1000000,5.162133606,0.1,6513.174032
iqr,mc,1.39367468,70,60,1,500,613,2,1860,4096,10000,1000000,1000000,7.970536723,0.1,7465.872746
iqr,mc,1.39367468,80,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,5716.551117
iqr,mc,1.39367468,80,40,1,500,613,2,1860,4096,10000,1000000,1000000,5.162133606,0.1,6305.903616
iqr,mc,1.39367468,80,60,1,500,613,2,1860,4096,10000,1000000,1000000,7.970536723,0.1,7108.514377
iqr,mc,1.39367468,80,80,1,500,613,2,1860,4096,10000,1000000,1000000,10.67386127,0.1,7932.984923
iqr,mc,1.39367468,90,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,5634.200414
iqr,mc,1.39367468,90,40,1,500,613,2,1860,4096,10000,1000000,1000000,5.162133606,0.1,6148.57788
iqr,mc,1.39367468,90,60,1,500,613,2,1860,4096,10000,1000000,1000000,7.970536723,0.1,6841.626481
iqr,mc,1.39367468,90,80,1,500,613,2,1860,4096,10000,1000000,1000000,10.67386127,0.1,7541.9336
iqr,mc,1.39367468,100,20,1,500,613,2,1860,4096,10000,1000000,1000000,2.583591757,0.1,5568.829237
iqr,mc,1.39367468,100,40,1,500,613,2,1860,4096,10000,1000000,1000000,5.162133606,0.1,6025.085634
iqr,mc,1.39367468,100,60,1,500,613,2,1860,4096,10000,1000000,1000000,7.970536723,0.1,6634.713393
iqr,mc,1.39367468,100,80,1,500,613,2,1860,4096,10000,1000000,1000000,10.67386127,0.1,7242.894353
iqr,mc,1.39367468,100,100,1,500,613,2,1860,4096,10000,1000000,1000000,13.2647722,0.1,7997.712878
iqr,mc,1.39367468,20,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,8245.202118
iqr,mc,1.39367468,30,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,7043.312444
iqr,mc,1.39367468,40,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,6491.092865
iqr,mc,1.39367468,40,40,1,500,613,2,2660,4096,10000,1000000,1000000,5.288645938,0.1,8191.726182
iqr,mc,1.39367468,50,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,6173.86034
iqr,mc,1.39367468,50,40,1,500,613,2,2660,4096,10000,1000000,1000000,5.288645938,0.1,7449.487535
iqr,mc,1.39367468,60,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,5967.937474
iqr,mc,1.39367468,60,40,1,500,613,2,2660,4096,10000,1000000,1000000,5.288645938,0.1,6987.338943
iqr,mc,1.39367468,60,60,1,500,613,2,2660,4096,10000,1000000,1000000,8.165104118,0.1,8030.741333
iqr,mc,1.39367468,70,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,5823.484119
iqr,mc,1.39367468,70,40,1,500,613,2,2660,4096,10000,1000000,1000000,5.288645938,0.1,6671.90419
iqr,mc,1.39367468,70,60,1,500,613,2,2660,4096,10000,1000000,1000000,8.165104118,0.1,7508.216966
iqr,mc,1.39367468,80,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,5716.551117
iqr,mc,1.39367468,80,40,1,500,613,2,2660,4096,10000,1000000,1000000,5.288645938,0.1,6442.889918
iqr,mc,1.39367468,80,60,1,500,613,2,2660,4096,10000,1000000,1000000,8.165104118,0.1,7139.376235
iqr,mc,1.39367468,80,80,1,500,613,2,2660,4096,10000,1000000,1000000,10.69181801,0.1,8086.831077
iqr,mc,1.39367468,90,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,5634.200414
iqr,mc,1.39367468,90,40,1,500,613,2,2660,4096,10000,1000000,1000000,5.288645938,0.1,6269.059807
iqr,mc,1.39367468,90,60,1,500,613,2,2660,4096,10000,1000000,1000000,8.165104118,0.1,6865.110051
iqr,mc,1.39367468,90,80,1,500,613,2,2660,4096,10000,1000000,1000000,10.69181801,0.1,7675.266933
iqr,mc,1.39367468,100,20,1,500,613,2,2660,4096,10000,1000000,1000000,2.527373142,0.1,5568.829237
iqr,mc,1.39367468,100,40,1,500,613,2,2660,4096,10000,1000000,1000000,5.288645938,0.1,6132.612516
iqr,mc,1.39367468,100,60,1,500,613,2,2660,4096,10000,1000000,1000000,8.165104118,0.1,6653.177091
iqr,mc,1.39367468,100,80,1,500,613,2,2660,4096,10000,1000000,1000000,10.69181801,0.1,7360.541412
iqr,mc,1.39367468,100,100,1,500,613,2,2660,4096,10000,1000000,1000000,13.46277462,0.1,8096.327753
iqr,mc,1.39367468,20,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,8245.202118
iqr,mc,1.39367468,30,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,7043.312444
iqr,mc,1.39367468,40,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,6491.092865
iqr,mc,1.39367468,40,40,1,500,613,4,3000,8192,10000,1000000,1000000,5.144171131,0.1,8191.726182
iqr,mc,1.39367468,50,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,6173.86034
iqr,mc,1.39367468,50,40,1,500,613,4,3000,8192,10000,1000000,1000000,5.144171131,0.1,7449.487535
iqr,mc,1.39367468,60,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,5967.937474
iqr,mc,1.39367468,60,40,1,500,613,4,3000,8192,10000,1000000,1000000,5.144171131,0.1,6987.338943
iqr,mc,1.39367468,60,60,1,500,613,4,3000,8192,10000,1000000,1000000,7.951944052,0.1,8030.741333
iqr,mc,1.39367468,70,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,5823.484119
iqr,mc,1.39367468,70,40,1,500,613,4,3000,8192,10000,1000000,1000000,5.144171131,0.1,6671.90419
iqr,mc,1.39367468,70,60,1,500,613,4,3000,8192,10000,1000000,1000000,7.951944052,0.1,7508.216966
iqr,mc,1.39367468,80,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,5716.551117
iqr,mc,1.39367468,80,40,1,500,613,4,3000,8192,10000,1000000,1000000,5.144171131,0.1,6442.889918
iqr,mc,1.39367468,80,60,1,500,613,4,3000,8192,10000,1000000,1000000,7.951944052,0.1,7139.376235
iqr,mc,1.39367468,80,80,1,500,613,4,3000,8192,10000,1000000,1000000,10.40563353,0.1,8086.831077
iqr,mc,1.39367468,90,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,5634.200414
iqr,mc,1.39367468,90,40,1,500,613,4,3000,8192,10000,1000000,1000000,5.144171131,0.1,6269.059807
iqr,mc,1.39367468,90,60,1,500,613,4,3000,8192,10000,1000000,1000000,7.951944052,0.1,6865.110051
iqr,mc,1.39367468,90,80,1,500,613,4,3000,8192,10000,1000000,1000000,10.40563353,0.1,7675.266933
iqr,mc,1.39367468,100,20,1,500,613,4,3000,8192,10000,1000000,1000000,2.453547886,0.1,5568.829237
iqr,mc,1.39367468,100,40,1,500,613,4,3000,8192,10000,1000000,1000000,5.144171131,0.1,6132.612516
iqr,mc,1.39367468,100,60,1,500,613,4,3000,8192,10000,1000000,1000000,7.951944052,0.1,6653.177091
iqr,mc,1.39367468,100,80,1,500,613,4,3000,8192,10000,1000000,1000000,10.40563353,0.1,7360.541412
iqr,mc,1.39367468,100,100,1,500,613,4,3000,8192,10000,1000000,1000000,13.10022201,0.1,8096.327753
iqr,mc,1.39367468,20,20,1,500,613,4,4000,8192,10000,1000000,1000000,2.438745367,0.1,8245.202118
iqr,mc,1.39367468,30,20,1,500,613,4,4000,8192,10000,1000000,1000000,2.438745367,0.1,7043.312444
iqr,mc,1.39367468,40,20,1,500,613,4,4000,8192,10000,1000000,1000000,2.438745367,0.1,6491.092865
iqr,mc,1.39367468,40,40,1,500,613,4,4000,8192,10000,1000000,1000000,5.11481554,0.1,8191.726182
iqr,mc,1.39367468,50,20,1,500,613,4,4000,8192,10000,1000000,1000000,2.438745367,0.1,6173.86034
iqr,mc,1.39367468,50,40,1,500,613,4,4000,8192,10000,1000000,1000000,5.11481554,0.1,7449.487535
iqr,mc,1.39367468,60,20,1,500,613,4,4000,8192,10000,1000000,1000000,2.438745367,0.1,5967.937474
iqr,mc,1.39367468,60,40,1,500,613,4,4000,8192,10000,1000000,1000000,5.11481554,0.1,6987.338943
iqr,mc,1.39367468,60,60,1,500,613,4,4000,8192,10000,1000000,1000000,7.908597252,0.1,8030.741333
iqr,mc,1.39367468,70,20,1,500,613,4,4000,8192,10000,1000000,1000000,2.438745367,0.1,5823.484119
iqr,mc,1.39367468,70,40,1,500,613,4,4000,8192,10000,1000000,1000000,5.11481554,0.1,6671.90419
iqr,mc,1.39367468,70,60,1,500,613,4,4000,8192,10000,1000000,1000000,7.908597252,0.1,7508.216966
iqr,mc,1.39367468,80,20,1,500,613,4,4000,8192,10000,1000000,1000000,2.438745367,0.1,5716.551117
iqr,mc,1.39367468,80,40,1,500,613,4,4000,8192,10000,1000000,1000000,5.11481554,0.1,6442.889918
